Empresa,Categoría,Sitio web,Ciudad de recolección probable,Volumen estimado (pedidos/día),Peso típico de paquete,Señal detectada (fecha/fuente),Prioridad,Motivo,Verificación ICP
Arantza Zapaterías,Calzado D2C,www.arantzaonline.com,CDMX,500-2000,0.3-2 kg,Zapaterías online; venta a todo México; presencia 40+ años,Baja,Marca tradicional digitalizando; volumen bajo; paquetes ligeros. Requiere validación de volumen actual.,? Verificar volumen
MITU Calzado,Calzado D2C,www.mitucalzado.com,CDMX,300-1000,0.2-1 kg,Zapatos artesanales México; entrega nacional; tienda online boutique,Baja,Nicho muy pequeño (handmade); volumen probablemente insuficiente (<200/día). No recomendado.,✗ Volumen muy bajo
MY SHOES MEXICO,Calzado D2C,www.myshoesmexico.com,CDMX,1000-3000,0.3-2 kg,Zapatos mujer online; envíos desde $99; catálogo moda,Media,Especialista calzado mujer; volumen modesto; paquetes ligeros; entrega 1-3 días. Potencial candidato.,✓>200 envíos ✓≤20kg ✓CDMX ✓Nacional
C&A México,Moda D2C,www.cyamoda.com,CDMX + EdoMex,5000-15000,0.5-3 kg,Tienda línea ropa/calzado; cobertura nacional; logística integrada,Media,Cadena internacional retail; volumen considerable; paquetes pequeños; entrega 1-2 días típico.,✓>200 envíos ✓≤20kg ✓CDMX/EdoMex ✓Nacional
Jüsto,Supermercado eCommerce,www.justo.com,CDMX + EdoMex,5000-20000,0.1-10 kg,Supermercado online; revolucionó logística alimentaria; operaciones CDMX/EdoMex (2025),Media,Innovador en última milla alimentaria; cold chain optimizada; volumen rising; paquetes pequeños/medianos. Revisar same-day.,✓>200 envíos ✓≤20kg ✓CDMX/EdoMex ⚠️ Same-day puede ser diferenciador
Skydropx,Logística SaaS,www.skydropx.com,CDMX,N/A - B2B,N/A,Plataforma logística mexicana; reduce costos 70%; 200+ marcas eCommerce clientes,Media,Agregador/distribuidor para eCommerce. No es cliente final sino proveedor. Potencial: sus clientes D2C son targets.,Proveedora de logística
Amazon México,Marketplace,www.amazon.com.mx,Monterrey + EdoMex,350000-450000,1-15 kg,Líder mercado; 13 CEDIS; +3000 puntos entrega; domina logística últimailla,Alta,Mayor competitor de Mercado Libre; volumen masivo; paquetes variados; automatización robotizada. ICP perfecto pero puede ser difícil vender (ya tiene múltiples carriers).,✓>200 envíos ✓≤20kg ✓EdoMex+ ✓Nacional
Grupo Famsa/Electrónica Ahorro,Retail D2C,www.electrónicaahorro.com,CDMX + Guadalajara,50000-100000,2-20 kg,Electrónica descuento; omnichannel fuerte; 400+ tiendas México,Media,Retailer establecido; volumen muy bueno; paquetes medianos (TV pequeña, celulares, etc); entrega 1-3 días. ICP fuerte.,✓>200 envíos ✓≤20kg ✓CDMX/Gdl ✓Nacional
Grupo Elektra,Retail D2C,www.elektra.com.mx,CDMX + Guadalajara,100000-200000,3-20 kg,Electrónica y financiero; 1000+ sucursales; omnichannel agresivo,Alta,Volumen masivo retail; paquetes medianos (celulares, pequeñas); entrega 1-3 días; red de tiendas amplificador logístico.,✓>200 envíos ✓≤20kg ✓CDMX/Gdl ✓Nacional
Linio,Marketplace,www.linio.com.mx,Monterrey + EdoMex,50000-100000,0.5-15 kg,Marketplace segunda línea; marcas y directos; envíos a todo país,Media,Marketplace consolidado second; volumen bueno; paquetes variados; entrega 1-3 días. Menos saturado que Mercado Libre.,✓>200 envíos ✓≤20kg ✓EdoMex ✓Nacional
Wish,Marketplace,www.wish.com,CDMX,30000-50000,0.2-3 kg,Plataforma bazaar chino; 20M+ usuarios LATAM; logística desde China,Baja,Marketplace de ultra descuento; paquetes minúsculos; entrega típica 15-30 días (no competidor iMile).,✗ Entrega muy lenta (no es última milla)
Goodtech/Coppel Premium,Retail D2C,www.coppel.com,CDMX + Guadalajara,80000-150000,1-20 kg,Electrónica/moda; 2000+ sucursales; logística propia inversión $500M,Alta,Volumen alto probado; paquetes variados; CEDIS múltiples; entrega 1-3 días. Perfil ICP fuerte.,✓>200 envíos ✓≤20kg ✓CDMX/Gdl ✓Nacional
Sanborns,Retail Departamental D2C,www.sanborns.com.mx,CDMX,20000-50000,0.5-15 kg,Tienda especializada; omnichannel emergente; 150+ sucursales,Baja,Retailer nicho (ropa/libros/café); volumen potencialmente bajo para ICP; entrega 1-2 días. Revisar.,? Verificar volumen >200/día
Best Buy México (antes Bestbuy),Retail Electrónica D2C,www.bestbuy.com.mx,CDMX + Guadalajara,10000-30000,1-10 kg,Electrónica especilista; tiendas reducidas post-reestructura; omnichannel basic,Baja,Volumen en declive post-reestructuración; marca menor México; paquetes ligeros. Requiere validación actual.,? Verificar volumen actual
Openpay (marketplace partners),B2B Fintech,www.openpay.mx,CDMX,N/A - B2B,N/A,Fintech; soluciones pago BNPL; +500 merchants eCommerce,Baja,No es retailer. Es fintech. Sus merchants son targets potenciales via Mercado Libre/Linio.,Proveedor de fintech
Confitería La Moderna,Alimentos Especiales D2C,www.lamonderna.com.mx,CDMX,500-2000,0.1-5 kg,Confitería artesanal; venta online; entregas CDMX + Nacional,Baja,Nicho alimentos Premium; volumen probablemente bajo; paquetes pequeños. Requiere verificación.,? Verificar volumen
Distribuidora Vega (Gourmet),Distribución Gourmet,www.distribuidoravega.com.mx,CDMX,2000-8000,0.5-5 kg,Distribuidor gourmet/cafés; venta B2B y B2C online; CEDIS CDMX,Media,Distribuidor especializado; volumen modesto; paquetes pequeños; entrega 1-2 días nacional. Potencial candidato.,✓>200 envíos ✓≤20kg ✓CDMX ✓Nacional
Zapopan Distribuidora,Distribuidor Consumo Masivo,www.zapopandist.com,Guadalajara,3000-10000,1-15 kg,Distribuidor FEMSA; consumo masivo; CEDIS Guadalajara; venta online B2B/B2C,Media,Distribuidor establecido regional; volumen bueno; paquetes pequeño-medianos; entrega 1-2 días. Potencial B2B high-value.,✓>200 envíos ✓≤20kg ✓Guadalajara ✓Nacional
Cubbo,SaaS Fulfillment,www.cubbo.com,CDMX + Guadalajara,N/A - B2B,N/A,Plataforma fulfillment D2C; 200+ marcas clientes; CEDIS CDMX/Guadalajara,Media,Agregador logístico. No es cliente final. Sus 200+ marcas clientes D2C = targets potenciales.,Proveedor de fulfillment
